,Movie_Name,Relese_Year,Rating_Score,Meta_Score,Total_Votes,Gross_USA,Movie_Genre,Director_Star
145,Adam Green's Aladdin,2016,6.4,,254,8600000,"Adventure, Comedy, Drama","Director:Adam Green| Stars:Jon Wiley, Michael Cummings, Yasmin Green, Toby Goodshank"
146,The Lost City of Z,2016,6.6,78.0,93384,8580410,"Adventure, Biography, Drama","Director:James Gray| Stars:Charlie Hunnam, Robert Pattinson, Sienna Miller, Tom Holland"
147,Ratchet & Clank,2016,5.5,29.0,11254,8549740,"Animation, Action, Adventure","Directors:Kevin Munroe, Jericca Cleland| Stars:James Arnold Taylor, David Kaye, Jim Ward, Sylvester Stallone"
148,A Cure for Wellness,2016,6.4,47.0,101698,8106986,"Drama, Fantasy, Horror","Director:Gore Verbinski| Stars:Dane DeHaan, Jason Isaacs, Mia Goth, Ivo Nandi"
149,The Wild Life,2016,5.3,36.0,6383,7965609,"Animation, Adventure, Comedy","Directors:Vincent Kesteloot, Mimi Maynard| Stars:Matthias Schweighöfer, Kaya Yanar, Ilka Bessin, Dieter Hallervorden"
150,Loving,2016,7.0,79.0,35027,7696098,"Biography, Drama, Romance","Director:Jeff Nichols| Stars:Ruth Negga, Joel Edgerton, Will Dalton, Dean Mumford"
151,Gold,2016,6.7,49.0,65474,7222964,"Crime, Drama","Director:Stephen Gaghan| Stars:Matthew McConaughey, Edgar Ramírez, Bryce Dallas Howard, Corey Stoll"
152,Silence,2016,7.1,79.0,115131,7100177,"Drama, History","Director:Martin Scorsese| Stars:Andrew Garfield, Adam Driver, Liam Neeson, Tadanobu Asano"
153,Birth of the Dragon,2016,5.6,35.0,8476,6901965,"Action, Biography, Drama","Director:George Nolfi| Stars:Billy Magnussen, Yu Xia, Philip Ng, Jingjing Qu"
154,Shut In,2016,4.8,25.0,14209,6883951,"Drama, Horror, Mystery","Director:Farren Blackburn| Stars:Naomi Watts, Charlie Heaton, Jacob Tremblay, Oliver Platt"
155,The Brothers Grimsby,2016,6.2,44.0,104963,6864016,"Action, Adventure, Comedy","Director:Louis Leterrier| Stars:Sacha Baron Cohen, Mark Strong, Rebel Wilson, Freddie Crowder"
156,The Young Messiah,2016,5.7,33.0,3698,6462576,"Drama, Fantasy","Director:Cyrus Nowrasteh| Stars:Adam Greaves-Neal, Vincent Walsh, Sara Lazzaro, Sean Bean"
157,Southside with You,2016,6.3,74.0,9953,6303853,"Biography, Drama, History","Director:Richard Tanne| Stars:Tika Sumpter, Parker Sawyers, Vanessa Bell Calloway, Phillip Edward Van Lear"
158,Sultan,2016,7.0,,47874,6200000,"Action, Drama, Sport","Director:Ali Abbas Zafar| Stars:Salman Khan, Anushka Sharma, Randeep Hooda, Amit Sadh"
159,Maudie,2016,7.6,65.0,19266,6170998,"Biography, Drama, Romance","Director:Aisling Walsh| Stars:Sally Hawkins, Ethan Hawke, Zachary Bennett, Gabrielle Rose"
160,Lowriders,2016,5.7,57.0,2609,6155650,"Adventure, Crime, Drama","Director:Ricardo de Montreuil| Stars:Gabriel Chavarria, Demián Bichir, Theo Rossi, Tony Revolori"
161,Captain Fantastic,2016,7.8,72.0,222226,5875006,"Comedy, Drama","Director:Matt Ross| Stars:Viggo Mortensen, George MacKay, Samantha Isler, Annalise Basso"
162,20th Century Women,2016,7.3,83.0,46468,5663855,"Comedy, Drama","Director:Mike Mills| Stars:Annette Bening, Elle Fanning, Greta Gerwig, Billy Crudup"
